Submission ID,Submitted at,選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2023年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）
xdRAP9,2023-10-24 10:08:24,熊,輔仁大學 Fu Jen Catholic University (FJU),學士,餐旅管理系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,1,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,無,4,2,1,1,沒有,,1,5,1,1,1,沒有,沒有,股市基金。年化回報 5-15%,3,3,2,3,5,2,3,4,"幫手, 夥伴, 助手, 朋友, 導師, 老師, 教練",,4,我講我的它講它的,3,3,2,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,1,沒有人,2,1,捷運,0,沒有,1,老實說我對任何環保資訊都沒有太多興趣,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,老實說我對任何環保資訊都沒有太多興趣,1,1,4,4,無,無,沒有錢,朋友,INFP
qbJ9DG,2023-10-24 10:08:39,海豚,輔仁大學 Fu Jen Catholic University (FJU),學士,職能治療,我還在就讀！,我是台灣人啊 🇹🇼！,19,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,1,1,1,uniqlo,5,3,3,1,沒有,,5,5,5,5,3,沒有,無經驗,股市基金。年化回報 5-15%,3,4,2,3,4,3,4,5,"導師, 老師, 助手, 幫手, 教練, 朋友, 夥伴",,3,把它當作一個人,4,3,2,4,"珊瑚礁, 沙漠, 草原, 熱帶雨林, 濕地",3,2,老師,4,1,"公車, 捷運, 腳踏車",0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 跟我的AI幫手討論環保問題, 如何讓我支持的公司更環保",True,True,False,False,False,False,False,False,True,False,True,False,False,False,,如果免費的話我會用它,3,4,5,4,提出專案,,,,
blYakL,2023-10-24 10:39:23,貓頭鷹,元智大學 Yuan Ze University (YZU),學士,藝術與設計,我還在就讀！,我是台灣人啊 🇹🇼！,19,4,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,5,2,3,統一,5,5,4,2,沒有,,3,2,2,2,4,有,看父母買什麼就買什麼,股市基金。年化回報 5-15%,2,2,4,2,2,4,2,2,"助手, 幫手, 教練, 老師, 導師, 夥伴, 朋友",,5,語言,5,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,4,澳洲森林大火，無尾熊死傷,4,2,"火車, 走路, 公車, 客運, 汽車",0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先尋找有機產品, 投資前比較公司的環保表現",True,False,False,False,False,False,False,True,False,False,False,False,False,True,,如果免費的話我會用它,2,4,5,3,暫時沒有想法,模擬聯合國及辯論社,擔心自己無法超越父母的成就，活在他們的影子之下,無,ENTP
9doGK5,2023-10-24 12:00:37,貓咪,輔仁大學 Fu Jen Catholic University (FJU),學士,哲學系,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,4,無,5,3,4,2,沒有,,3,5,4,4,4,沒有,無,房地產投資信託。年化回報 2-7%,2,2,4,2,3,4,4,4,"助手, 幫手, 導師, 老師, 教練, 朋友, 夥伴",,2,問他一些專業的問題,5,4,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,3,媽媽,4,3,走路,2,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 如何讓我支持的公司更環保, 投資前查看公司的環保認證和生態評分, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好",True,True,True,False,False,True,False,False,False,True,True,False,False,False,,每月99台幣,3,4,5,4,通過選擇較環保的公司產品來讓各個企業競爭,,,,INFP
24DEdb,2023-10-24 12:12:32,禿鷹,輔仁大學 Fu Jen Catholic University (FJU),學士,織品系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,1,3,台灣菸酒公司,3,2,3,1,有,黑心食安,4,4,3,3,2,沒有,球鞋,股市基金。年化回報 5-15%,3,4,4,2,1,1,1,2,"幫手, 助手, 老師, 導師, 教練, 朋友, 夥伴",,2,我給問題他給解答,3,4,4,3,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",2,2,新聞,3,2,走路,0,沒有,2,買東西先查看公司生產過程多環保,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,連署,嘻哈研究社,沒有,沒有,ENFP
7daGR9,2023-10-24 13:17:08,蜥蜴,輔仁大學 Fu Jen Catholic University (FJU),學士,應用美術系,我還在就讀！,我是台灣人啊 🇹🇼！,25,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,有,3,4,3,3,有,因為他食安出問題,4,5,2,2,1,沒有,完全沒有,股市基金。年化回報 5-15%,2,4,2,3,4,4,2,3,"助手, 幫手, 老師, 教練, 導師, 夥伴, 朋友",,4,單純解決問題,4,4,3,2,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",4,4,朋友,4,3,"公車, 捷運",0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看公司工人的員工福利多好, 投資前查看AI摘要的消費者對公司環保的評論",False,False,True,True,False,True,False,False,False,False,False,True,False,False,,我不懂AI如何幫助我,3,4,4,5,發起運動,,,,INFP
zKG87R,2023-10-24 13:40:51,水豚,輔仁大學 Fu Jen Catholic University (FJU),學士,影像傳播學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,2,舒潔,4,3,3,1,沒有,,4,4,3,3,2,沒有,只有看過家人朋友在玩股票,股市基金。年化回報 5-15%,2,3,3,2,4,4,2,2,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,4,文字,4,3,3,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,2,小時候學校的宣導,4,3,"走路, 客運, 捷運",2,沒有,2,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看產品的運輸距離（是不是當地食品）, 投資前比較公司的環保表現",True,True,False,False,False,True,False,False,False,False,False,False,False,True,,如果免費的話我會用它,3,3,4,2,消費程度,,,,
eBYaee,2023-10-24 13:55:27,老鷹,輔仁大學 Fu Jen Catholic University (FJU),學士,化學,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,2,1,4,沒有,3,3,3,2,有,壓榨勞工,4,4,3,3,2,沒有,沒有,股市基金。年化回報 5-15%,3,2,2,3,2,4,4,3,"助手, 幫手, 老師, 導師, 教練, 朋友, 夥伴",,3,問問題,4,4,3,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,3,壞境,3,3,走路,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分",True,True,False,False,False,True,False,True,False,True,False,False,False,False,,如果免費的話我會用它,3,3,5,4,連署,吉他社,,,ENFP
BG27Q5,2023-10-24 14:03:06,貓,輔仁大學 Fu Jen Catholic University (FJU),學士,圖書資訊,我還在就讀！,我是台灣人啊 🇹🇼！,22,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,3,仁州淨塑,5,5,3,5,沒有,,3,3,4,3,2,沒有,沒有,ESG環保投資基金。年化回報 2-7%,3,3,2,1,5,4,3,2,"助手, 幫手, 夥伴, 老師, 教練, 導師, 朋友",,2,條理分明 思緒對答有理,2,5,5,3,"熱帶雨林, 珊瑚礁, 濕地, 沙漠, 草原",4,3,朋友,5,5,"公車, 捷運",0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論",False,True,False,True,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,2,3,3,3,消費習慣 社群分享,,氣候暖化,,ISFP
zK1Yaa,2023-10-24 14:06:44,貓,輔仁大學 Fu Jen Catholic University (FJU),學士,影像傳播,我還在就讀！,我是台灣人啊 🇹🇼！,21,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,3,5,無,4,2,1,1,有,,4,5,5,3,3,沒有,無,股市基金。年化回報 5-15%,1,2,4,1,1,4,5,2,"助手, 幫手, 夥伴, 朋友, 老師, 教練, 導師",,1,指令,4,5,4,2,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,2,媒體,4,3,捷運,1,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境",False,False,False,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,2,3,4,2,個人能力有限，或許可以組織行動,,,,INFP
pLkB78,2023-10-24 14:13:49,兔子,輔仁大學 Fu Jen Catholic University (FJU),學士,公共衛生,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,3,3,義美,4,3,3,3,有,食安風波,4,3,2,4,2,沒有,沒有,股市基金。年化回報 5-15%,3,2,2,2,2,3,3,4,"助手, 幫手, 朋友, 夥伴, 教練, 導師, 老師",,3,有問有答,3,4,3,3,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",3,3,回饋,3,3,"火車, 捷運",8,沒有,2,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品",False,True,False,False,False,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,3,提供相關方案,,,,ISFJ
RzVzAJ,2023-10-24 15:05:10,貓咪,輔仁大學 Fu Jen Catholic University (FJU),學士,應用美術系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1,1,4,iPhone,4,3,3,3,有,黑心食安,3,5,3,3,2,沒有,無,股市基金。年化回報 5-15%,4,4,3,3,3,4,3,2,"助手, 幫手, 教練, 夥伴, 導師, 老師, 朋友",,3,透過有理化的條件 去生成聊天室,4,4,4,4,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,3,父親,3,3,"捷運, 走路, 公車, 客運",0,沒有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,True,False,True,False,False,True,False,False,True,False,False,False,False,,如果免費的話我會用它,3,3,4,4,學運,無,氣候暖化,國小高年級導師,ENFP
oAkORM,2023-10-24 15:08:19,刺蝟,輔仁大學 Fu Jen Catholic University (FJU),學士,公共衛生學系,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,2,2,5,Apple,4,3,2,2,沒有,,5,5,2,3,4,有,外幣,房地產投資信託。年化回報 2-7%,2,2,4,4,2,5,2,2,"幫手, 助手, 夥伴, 朋友, 導師, 老師, 教練",.,2, .,4,5,3,4,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",3,3,.,5,4,摩托車,2,有,3,"買東西先查看公司生產過程多環保, 用社交網絡認識其他環保的同學, 如何讓我支持的公司更環保",False,True,False,False,True,False,False,False,False,False,True,False,False,False,,每月49台幣,4,5,4,4,.,系學會,全球暖化,.,ESFJ
7daAlZ,2023-10-24 15:34:04,無尾熊,輔仁大學 Fu Jen Catholic University (FJU),學士,公衛系,我還在就讀！,我是台灣人啊 🇹🇼！,22,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,3,無,5,4,4,1,沒有,,4,5,2,1,1,沒有,無,政府債券。年化回報 2-3%,2,2,2,2,4,4,3,3,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,1,說話,4,5,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",1,3,海龜,5,4,"摩托車, 捷運, 公車",1,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",True,False,False,True,False,False,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3,4,5,4,提案,熱舞,,加油！,ENFP
EPNlMB,2023-10-24 17:43:23,貓,輔仁大學 Fu Jen Catholic University (FJU),學士,哲學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1,1,3,沒有,4,5,3,2,有,有爆出食安問題,4,3,2,4,2,沒有,沒有,股市基金。年化回報 5-15%,3,1,2,1,2,3,2,2,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,2,以達到我的目的為主的溝通方式,5,1,1,4,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2,4,喜愛潛水,5,2,走路,6,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",True,False,False,True,False,True,False,False,False,False,False,True,False,False,,每月49台幣,3,4,5,3,不知道,攝影社,人的慾望超越想保護環境的心,哲學,INFP
Xe2ZV4,2023-10-24 23:31:19,孔雀,輔仁大學 Fu Jen Catholic University (FJU),學士,西班牙語文,我還在就讀！,我是台灣人啊 🇹🇼！,19,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,2,2,4,沒有,4,3,4,2,有,採用新疆棉花,4,4,3,3,2,沒有,沒有,股市基金。年化回報 5-15%,3,3,3,2,2,3,4,4,"幫手, 助手, 夥伴, 朋友, 導師, 老師, 教練",,4,像平常的朋友一樣聊天,4,4,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,3,氣候變遷,4,4,摩托車,0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 跟我的AI幫手討論環保問題",False,True,True,True,False,True,False,True,True,True,False,True,False,False,,每月99台幣,3,3,3,4,給予現代較符合現代年輕人環保的概念或行動一個比較具體的方向。,沒有,氣候變遷加劇,某些島嶼即將被淹沒,"INFP, ISFP"
lNMJ2N,2023-10-24 23:37:21,狗狗,輔仁大學 Fu Jen Catholic University (FJU),學士,哲學,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,4,無,5,3,3,1,沒有,,4,2,4,1,2,沒有,無,ESG環保投資基金。年化回報 2-7%,4,4,4,1,1,5,2,4,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,1,詢問建議，並以禮貌的語氣回覆，偶爾會問偏激問題,1,2,3,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",1,1,有環境被破壞、動物被危害的畫面的環保宣傳片,3,4,公車,0,沒有,3,"買東西先尋找有機產品, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保",False,True,False,False,False,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,3,3,5,2,沒有概念,戲劇社,沒有充實大學生活,,INTP
RzkKbQ,2023-10-25 00:17:40,短尾矮袋鼠,國立成功大學 National Cheng Kung University (NCKU),碩士,土木工程系,我還在就讀！,我是台灣人啊 🇹🇼！,25,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,4,2,4,無,4,5,5,3,有,使用地溝油,5,4,2,4,4,有,股票,股市基金。年化回報 5-15%,2,3,2,2,4,5,2,3,"助手, 幫手, 教練, 導師, 老師, 夥伴, 朋友",,2,請他幫忙搜尋,5,4,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,4,動物的棲地,5,4,腳踏車,2,沒有,3,"買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品",True,True,False,False,False,True,False,True,False,False,False,True,False,False,,每月49台幣,3,3,5,5,產學合作,,,,
oAvG45,2023-10-25 03:22:02,樹懶,輔仁大學 Fu Jen Catholic University (FJU),學士,公衛系,我還在就讀！,我是台灣人啊 🇹🇼！,20,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4,3,3,Apple,3,3,5,2,有,黑心公司：頂新,4,3,3,5,4,沒有,沒,房地產投資信託。年化回報 2-7%,3,3,2,2,4,3,3,2,"助手, 導師, 老師, 幫手, 教練, 夥伴, 朋友",,2,還好,4,5,3,3,"珊瑚礁, 濕地, 草原, 熱帶雨林, 沙漠",3,4,自己,3,3,捷運,1,沒有,2,買東西先查看產品的運輸距離（是不是當地食品）,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,如果免費的話我會用它,2,3,4,4,積極提出改善方向,沒,還好,,ISFJ
OAk5la,2023-10-25 03:27:39,貓咪,國立中央大學 National Central University (NCU),碩士,企業管理,我還在就讀！,我是台灣人啊 🇹🇼！,25,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,4,2,4,鮮乳坊,4,3,4,1,有,味全,3,5,3,4,3,有,儲蓄險,政府債券。年化回報 2-3%,4,3,4,4,4,5,4,3,"教練, 導師, 老師, 助手, 幫手, 夥伴, 朋友",,5,問答,3,5,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,2,地球暖化,4,3,機車,0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前比較公司的環保表現, 跟我的AI幫手討論環保問題",False,True,True,False,False,True,False,True,True,False,False,True,False,True,,每月49台幣,2,2,3,4,網路論壇,志工社團,,,
NAdWDO,2023-10-25 03:29:43,兔子,國立中央大學 National Central University (NCU),碩士,企業管理學所,我還在就讀！,我是台灣人啊 🇹🇼！,24,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,4,4,The body shop,4,3,3,3,有,傷害動物,4,5,5,4,2,有,存股,股市基金。年化回報 5-15%,2,3,3,4,2,4,4,4,"幫手, 助手, 夥伴, 導師, 老師, 教練, 朋友",,2,打字,4,4,4,2,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",4,3,Youtuber,4,2,"公車, 客運",0,有,4,"買東西先查看公司生產過程多環保, 用社交網絡認識其他環保的同學, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先尋找有機產品",False,True,False,True,True,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,4,3,2,2,不知道,服務性質,,,INFJ
oAvMeO,2023-10-25 03:30:49,Dog,國立中央大學 National Central University (NCU),碩士,企管,我還在就讀！,我是台灣人啊 🇹🇼！,24,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,5,5,5,全家,5,2,3,1,有,反皮草,4,4,5,3,1,沒有,沒有,政府債券。年化回報 2-3%,4,4,2,3,2,2,3,3,"助手, 幫手, 老師, 導師, 教練, 夥伴, 朋友",,4,聊心,4,5,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,4,影片,4,3,"摩托車, 走路",1,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前比較公司的環保表現",False,True,False,False,False,True,False,False,False,False,False,True,False,True,,如果免費的話我會用它,3,4,4,4,網路,康輔 吉他 學術性,,,INFJ
LdkWpp,2023-10-25 03:36:18,狐狸,國立臺灣大學 National Taiwan University (NTU),學士,土木工程,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,1,1,沒有,4,2,2,1,沒有,,4,4,3,4,1,沒有,無,房地產投資信託。年化回報 2-7%,1,4,3,4,2,4,2,2,"幫手, 助手, 夥伴, 老師, 教練, 朋友, 導師",,1,下達指令 若談論感性層面問題則是敘述,3,4,4,1,"珊瑚礁, 濕地, 草原, 熱帶雨林, 沙漠",2,1,老師、媒體或網路影片,3,3,"走路, 腳踏車, 公車, 捷運",1,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,True,False,False,False,True,True,False,False,False,False,True,False,False,,如果免費的話我會用它,2,1,3,3,連署,,,,INTP
