Rank 2021,Company,Peer Group (CKIG),Peer Group Rank,Country,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,NOx Productivity,SOx Productivity,PM  Productivity,VOC Productivity Score,NOx Productivity Score,SOx Productivity Score,PM  Productivity Score,% Taxes Paid,% Taxes Paid Score,% Clean Revenues,Clean Revenue Score,% Clean Investment,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement contributions/FTE,Retirement contributions/FTE  Score,Fair value of plan assets/FTE,Fair value of plan assets/FTE  Score,Fair value/projected benefit obligation Percent,Fair value/projected benefit obligation  Score,Pension Fund Status,Lost-time Injury Rate,Lost-time Injury Rate  Score,Fatalities per FTE employee,Fatalities per FTE employee Score,Employee Turnover Rate,Employee Turnover Score,% Non-male on Board,% Non-male on Board  Score,% Non-male Senior Executives,% Non-male Senior Executives  Score,% Racial Diversity Among Boards,% Racial Diversity Among Board Score,% Racial Diversity Among Executives,% Racial Diversity Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines deduction,Overall Score,,Energy Productivity - Weight,Carbon Productivity - Weight,Water Productivity - Weight,Waste Productivity - Weight,Injuries - Weight,Fatalities - Weight,Employee turnover - Weight,VOC Productivity - Weight,NOX Productivity - Weight,SOX Productivity - Weight,PM Productivity - Weight,Pension Fund Status - Weight,Cash taxes paid ratio - Weight,CEO-Average Worker Pay ratio - Weight,Clean Revenue - Weight,Clean Investment - Weight,Non-male on Board - Weight,Non-male in Executive Management - Weight,Racial Diversity Among Executives - Weight,Racial Diversity on Board of Directors - Weight,Paid Sick Leave,Sustainability Paylink - Weight,Supplier Score - Weight
72,Tech Mahindra Ltd,IT Consulting & Services,#2/127,India,"$35,610",74.50%,"$161,647",0.00%,"$17,577",27.20%,"$326,956,075",88.50%,No Data,"$78,122,924,187","$289,707,362,815","$104,280,121,885",0.00%,75.00%,30.00%,75.00%,28.10%,92.20%,13.40%,77.70%,0.10%,60.00%,190:1,0.00%,$115,10.00%,"$1,469",6.60%,4.00%,0.00%,7.50%,-,100.00%,-,100.00%,19.10%,35.30%,23.10%,51.70%,17.60%,44.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,75.80%,0.00%,60.70%,,1%,1%,1%,0%,1%,1%,7%,1%,0%,0%,0%,4%,6%,6%,43%,8%,3%,3%,3%,3%,3%,5%,3%
73,Agnico Eagle Mines Ltd,Mining,#1/116,Canada,$541,65.70%,"$5,914",55.40%,$323,69.10%,$69,58.30%,No Data,"$255,230","$3,893,949",No Data,0.00%,9.90%,46.10%,0.00%,11.50%,56.30%,0.90%,77.70%,2.40%,33.30%,No Data,0.00%,$406,10.50%,$547,7.10%,8.80%,0.00%,7.90%,0.42,66.70%,-,100.00%,7.80%,74.10%,30.00%,68.80%,20.00%,47.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,18.90%,1.00%,60.60%,,0%,1%,3%,19%,0%,0%,0%,1%,1%,4%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
74,Analog Devices Inc,Electronic Products,#7/365,USA,"$6,510",64.60%,"$43,628",36.40%,"$2,654",51.20%,"$3,710,488",73.20%,"$161,920,676","$427,933,214","$54,464,227,273","$5,705,776,190",35.50%,51.30%,83.80%,37.50%,16.10%,73.00%,47.30%,68.10%,23.60%,92.10%,125:1,13.40%,"$5,192",81.00%,"$6,214",23.60%,58.90%,38.70%,60.80%,0.38,55.30%,-,100.00%,7.00%,78.80%,27.30%,63.60%,10.00%,10.60%,27.30%,86.90%,10.00%,68.00%,0.00%,0.00%,72.70%,0.00%,60.20%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
75,Pearson PLC,Human Resource Services,#1/58,UK,"$39,963",63.80%,"$416,031",0.00%,"$12,537",0.00%,No Data,0.00%,Not an appliable KPI,No Data,No Data,Not an appliable KPI,Not an appliable KPI,0.00%,0.00%,Not an appliable KPI,8.70%,18.50%,14.60%,100.00%,No Data,0.00%,29:1,66.70%,No Data,0.00%,"$223,764",100.00%,111.20%,93.30%,23.30%,0.57,0.00%,0.00004399,0.00%,37.00%,20.00%,45.50%,96.20%,33.30%,87.10%,0.00%,0.00%,11.10%,69.30%,0.00%,100.00%,0.00%,0.00%,59.90%,,0%,0%,1%,0%,2%,5%,7%,0%,2%,0%,0%,3%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
76,Adidas AG,Footwear,#1/19,Germany,"$113,651",95.00%,"$1,220,772",64.30%,"$112,080",90.00%,"$15,379,985",68.80%,"$7,012,749",No Data,No Data,Not an appliable KPI,6.30%,0.00%,0.00%,Not an appliable KPI,22.70%,77.70%,23.30%,100.00%,11.70%,0.00%,125:1,0.00%,"$2,994,191",100.00%,"$12,141,581",100.00%,66.50%,83.30%,95.80%,0.28,100.00%,-,100.00%,No Data,0.00%,31.30%,73.90%,16.70%,43.20%,12.50%,67.70%,0.00%,0.00%,100.00%,100.00%,0.00%,2.50%,59.60%,,0%,1%,1%,0%,1%,1%,4%,16%,0%,0%,0%,1%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
77,Prologis Inc,Real Estate,#3/412,USA,"$33,700",73.00%,"$427,880",45.70%,"$307,642",98.90%,"$1,507,682,314",100.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,1.90%,40.80%,6.80%,52.30%,11.40%,90.40%,124:1,4.70%,"$1,751",32.10%,"$121,379",80.00%,No Data,0.00%,24.10%,-,100.00%,No Data,0.00%,15.50%,66.70%,27.30%,63.60%,14.30%,33.00%,18.20%,74.40%,0.00%,0.00%,100.00%,100.00%,23.30%,0.00%,59.30%,,2%,2%,6%,6%,2%,3%,2%,1%,0%,0%,2%,2%,1%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
78,Lenovo Group Ltd,Technology Hardware,#5/83,China,"$141,503",95.00%,"$297,696",40.30%,"$38,804",63.60%,"$7,544,830",32.20%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,22.30%,83.10%,27.70%,66.60%,0.10%,0.00%,349:1,20.00%,$343,7.10%,"$6,289",8.30%,47.90%,19.10%,5.30%,0.03,100.00%,-,100.00%,2.20%,100.00%,10.00%,6.80%,21.40%,57.00%,40.00%,94.70%,21.40%,88.90%,100.00%,100.00%,64.10%,0.00%,59.30%,,1%,2%,2%,0%,2%,0%,5%,2%,1%,0%,0%,6%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
79,Unilever PLC,Personal Products,#2/33,UK,"$3,175",27.80%,"$73,289",20.40%,"$2,525",18.70%,"$3,297,110",46.90%,No Data,"$39,495,055",No Data,No Data,0.00%,16.20%,0.00%,0.00%,21.50%,58.00%,31.00%,80.00%,0.20%,0.00%,154:1,12.50%,"$3,551",63.60%,"$231,796",70.00%,99.20%,86.30%,61.80%,No Data,0.00%,0.00002669,20.00%,6.90%,37.50%,41.70%,91.90%,30.80%,79.90%,33.30%,90.80%,30.80%,93.00%,100.00%,100.00%,0.00%,0.00%,59.20%,,2%,1%,2%,1%,3%,1%,2%,1%,1%,2%,0%,4%,5%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
80,StarHub Ltd,Telecommunications,#4/155,Singapore,"$5,154",55.50%,"$42,860",9.40%,"$121,881",85.40%,"$75,855,419",77.70%,"$3,636,903,630","$928,300,577","$22,124,497,083","$15,617,292,059",75.00%,67.10%,81.30%,75.00%,10.90%,76.50%,3.10%,60.00%,0.90%,28.50%,18:1,85.00%,"$15,382",91.40%,No Data,0.00%,No Data,0.00%,68.60%,0.14,100.00%,-,100.00%,24.00%,10.30%,25.00%,52.90%,20.00%,47.40%,41.70%,95.50%,40.00%,97.30%,100.00%,100.00%,0.00%,2.50%,58.90%,,3%,4%,1%,0%,2%,3%,3%,4%,2%,1%,0%,5%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
81,Orkla ASA,Packaged and Processed Food and Ingredients,#3/225,Norway,"$1,965",62.90%,"$34,369",56.90%,$602,57.10%,"$17,290,943",82.30%,No Data,"$44,362,620","$399,263,583",No Data,0.00%,33.70%,60.20%,0.00%,18.20%,74.10%,21.90%,79.10%,2.00%,25.00%,44:1,56.00%,"$2,184",53.40%,"$2,398",16.10%,15.80%,1.60%,40.10%,0.7,72.50%,-,100.00%,10.00%,75.00%,33.30%,80.90%,20.00%,47.40%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,58.70%,,3%,3%,10%,3%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,43%,8%,3%,3%,3%,3%,3%,5%,3%
82,AstraZeneca PLC,Pharmaceuticals and Biotechnology,#6/417,UK,"$5,453",60.00%,"$48,815",28.20%,"$6,869",77.70%,"$1,303,051",43.40%,"$117,797,101",No Data,No Data,No Data,35.20%,0.00%,0.00%,0.00%,11.10%,44.00%,2.80%,57.80%,3.20%,58.80%,134:1,17.70%,"$7,705",73.40%,"$136,048",63.10%,77.40%,41.00%,56.10%,0.66,48.40%,-,100.00%,10.50%,69.10%,28.60%,68.50%,33.30%,87.10%,21.40%,79.90%,33.30%,93.80%,100.00%,100.00%,4.10%,1.00%,58.50%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
83,Shinhan Financial Group Co Ltd,Banks and Investment Services,#13/935,South Korea,"$104,302",78.70%,"$565,290",29.90%,"$149,638",72.80%,"$114,601,633",78.10%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,19.00%,64.30%,2.00%,77.00%,0.00%,1.50%,13:1,69.70%,"$1,866",21.70%,"$100,649",49.10%,94.20%,54.30%,17.10%,0.04,92.90%,-,100.00%,3.90%,93.20%,7.70%,2.40%,7.10%,5.30%,7.70%,52.60%,0.00%,0.00%,100.00%,100.00%,4.10%,1.00%,58.30%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
84,SAP SE,Software and Related Services,#3/142,Germany,"$24,998",60.70%,"$143,854",1.30%,"$30,240",33.10%,"$162,415,970",65.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,24.20%,88.30%,83.50%,57.10%,16.20%,100.00%,58:1,50.00%,"$5,377",81.20%,"$21,638",100.00%,86.60%,76.90%,80.10%,0.07,66.70%,Not an appliable KPI,Not an appliable KPI,10.70%,20.00%,50.00%,97.00%,20.00%,47.40%,5.60%,51.30%,0.00%,0.00%,100.00%,100.00%,3.70%,1.00%,57.30%,,1%,2%,1%,0%,2%,0%,4%,0%,1%,3%,0%,6%,4%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
85,Canadian Solar Inc,Electronic Products,#8/365,Canada,No Data,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,22.30%,88.80%,100.00%,99.20%,100.00%,99.20%,No Data,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,11.10%,15.10%,0.00%,0.00%,66.70%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,57.20%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
86,Nordea Bank Abp,Banks and Investment Services,#14/935,Finland,"$48,961",46.40%,"$2,689,259",52.00%,"$121,888",73.10%,"$19,649,495",55.30%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,21.90%,72.40%,1.80%,75.60%,0.90%,95.40%,19:1,62.50%,"$1,155",12.50%,"$163,242",62.50%,93.20%,52.00%,13.00%,No Data,0.00%,-,100.00%,9.90%,60.70%,40.00%,88.60%,22.20%,60.40%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,26.40%,2.50%,57.10%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
87,Kesko Oyj,Grocery and Diversified Stores,#1/395,Finland,"$7,074",40.40%,"$130,419",28.10%,"$13,128",51.20%,"$2,697,846",66.00%,No Data,"$60,979,707","$74,948,755",No Data,0.00%,49.10%,15.60%,0.00%,11.00%,35.90%,3.60%,61.50%,2.90%,100.00%,129:1,50.00%,"$4,769",97.80%,"$21,944",65.30%,132.70%,98.40%,89.30%,2.4,53.00%,-,100.00%,29.10%,36.40%,28.60%,68.50%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,1.00%,56.80%,,1%,2%,1%,2%,7%,1%,4%,0%,1%,2%,1%,1%,3%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
88,Henkel AG & Co KgaA,Personal Products,#3/33,Germany,"$3,433",39.20%,"$44,151",10.90%,"$3,629",27.20%,"$668,278",10.60%,"$69,678,295","$67,908,176","$408,392,227","$105,391,542",29.10%,35.00%,46.90%,6.30%,19.40%,29.00%,23.00%,60.00%,0.40%,75.00%,90:1,37.50%,"$1,395",18.10%,"$126,575",60.00%,86.00%,54.50%,17.20%,0.14,100.00%,-,100.00%,6.60%,50.00%,16.70%,34.20%,24.30%,62.40%,33.30%,90.80%,0.00%,0.00%,100.00%,100.00%,53.70%,0.00%,56.30%,,2%,1%,2%,1%,3%,1%,2%,1%,1%,2%,0%,4%,5%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
89,Ericsson,Communications Equipment,#3/60,Sweden,"$21,716",87.50%,"$150,030",100.00%,"$17,303",79.10%,"$4,245,891",31.20%,No Data,"$20,948,452","$21,847,754","$185,393,798",0.00%,3.10%,3.10%,0.00%,32.70%,89.00%,35.30%,90.90%,17.70%,0.00%,102:1,50.00%,"$5,946",100.00%,"$80,115",66.60%,68.30%,52.30%,79.70%,No Data,0.00%,0.00011065,0.00%,11.00%,66.70%,23.10%,51.70%,25.00%,62.50%,0.00%,0.00%,12.50%,72.30%,100.00%,0.00%,10.40%,5.00%,55.80%,,1%,2%,2%,1%,2%,6%,4%,0%,0%,0%,2%,3%,3%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
90,Alphabet Inc,Internet Companies,#1/49,USA,"$23,586",25.00%,"$31,252",6.30%,No Data,0.00%,No Data,0.00%,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,14.20%,64.10%,83.30%,100.00%,0.60%,100.00%,1085:1**,0.00%,"$6,089",0.00%,No Data,0.00%,No Data,0.00%,0.00%,No Data,0.00%,Not an appliable KPI,Not an appliable KPI,No Data,0.00%,27.30%,63.60%,0.00%,0.00%,27.30%,86.90%,33.30%,93.80%,100.00%,0.00%,0.00%,5.00%,55.80%,,1%,2%,1%,0%,4%,0%,4%,0%,0%,0%,0%,14%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
91,Teck Resources Ltd,Mining,#3/116,Canada,$307,47.50%,"$3,099",27.30%,$30,7.50%,$10,12.60%,"$392,955,649","$6,882,473","$2,594,548","$207,288",100.00%,68.70%,42.10%,22.90%,18.80%,84.40%,0.90%,83.30%,4.70%,66.60%,59:1,44.00%,"$3,946",68.40%,"$209,872",92.80%,113.80%,91.80%,72.50%,0.34,74.10%,0.00009422,60.90%,10.00%,44.50%,33.30%,80.90%,13.30%,25.30%,33.30%,90.80%,0.00%,0.00%,100.00%,100.00%,53.40%,5.00%,55.60%,,0%,1%,3%,19%,0%,0%,0%,1%,1%,4%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
92,Industria de Diseno Textil SA,Clothing and Accessory Retail,#2/143,Spain,"$15,337",59.40%,"$118,111",12.30%,"$19,989",58.70%,"$20,130,428",93.80%,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,No Data,Not an appliable KPI,Not an appliable KPI,Not an appliable KPI,0.00%,18.10%,57.10%,19.00%,85.70%,2.60%,0.00%,210:1,30.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,No Data,0.00%,-,100.00%,50.00%,13.40%,36.40%,84.20%,23.80%,62.30%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,55.30%,,1%,1%,1%,1%,6%,1%,7%,0%,0%,0%,3%,2%,4%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
93,Koninklijke KPN NV,Telecommunications,#5/155,Netherlands,"$3,056",29.70%,"$29,496",5.40%,"$262,954",100.00%,"$5,082,209",33.10%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,-0.50%,0.00%,5.60%,70.00%,31.80%,100.00%,21:1,80.00%,"$3,639",46.80%,"$62,645",34.60%,71.90%,44.00%,35.10%,10.1,0.00%,-,100.00%,19.80%,16.40%,37.50%,84.80%,33.30%,87.10%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,2.50%,55.20%,,3%,4%,1%,0%,2%,3%,3%,4%,2%,1%,0%,5%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
94,Byd Co Ltd,Vehicles and Parts,#2/257,China,"$1,620",24.80%,No Data,0.00%,"$1,025",6.50%,No Data,0.00%,"$320,947,463","$750,266,796",No Data,No Data,100.00%,79.80%,0.00%,0.00%,3.00%,5.10%,34.60%,89.10%,2.10%,28.50%,37:1,52.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,16.70%,34.20%,15.40%,34.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.00%,,2%,3%,2%,2%,1%,1%,2%,11%,1%,0%,0%,1%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
95,Workday Inc,Software and Related Services,#4/142,USA,"$9,457",15.10%,"$1,401,548",61.40%,No Data,0.00%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,4.30%,21.70%,85.40%,85.70%,3.10%,57.10%,52:1**,0.00%,"$2,882",56.20%,No Data,0.00%,No Data,0.00%,42.20%,No Data,0.00%,Not an appliable KPI,Not an appliable KPI,No Data,0.00%,18.20%,37.50%,35.30%,88.30%,18.20%,74.40%,23.50%,90.00%,100.00%,0.00%,0.00%,0.00%,55.00%,,1%,2%,1%,0%,2%,0%,4%,0%,1%,3%,0%,6%,4%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
96,Maxim Integrated Products Inc,Electronic Products,#9/365,USA,"$3,819",39.60%,"$19,795",23.60%,"$1,721",30.50%,"$2,510,189",60.80%,"$47,639,022","$365,232,500",No Data,No Data,12.30%,41.50%,0.00%,0.00%,12.40%,56.00%,37.60%,67.40%,48.30%,95.20%,282:1,0.00%,$109,1.70%,No Data,0.00%,No Data,0.00%,1.30%,0.19,71.10%,-,100.00%,No Data,0.00%,33.30%,80.90%,0.00%,0.00%,22.20%,80.90%,33.30%,93.80%,100.00%,0.00%,0.00%,0.00%,54.30%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
97,Tesla Inc,Vehicles and Parts,#3/257,USA,"$3,154",52.00%,No Data,0.00%,"$23,205",71.10%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,3.70%,6.80%,100.00%,100.00%,100.00%,100.00%,0:1**,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,22.20%,51.30%,0.00%,0.00%,22.20%,80.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,53.70%,,2%,3%,2%,2%,1%,1%,2%,11%,1%,0%,0%,1%,2%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
98,Novo Nordisk A/S,Pharmaceuticals and Biotechnology,#9/417,Denmark,"$6,113",53.20%,"$113,665",46.90%,"$5,810",76.30%,"$2,107,700",72.60%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,15.80%,60.20%,3.20%,63.10%,3.20%,58.80%,78:1,35.30%,"$6,621",65.30%,"$4,070",2.60%,46.80%,7.60%,49.00%,0.44,58.10%,0.00002312,11.80%,11.40%,54.80%,38.50%,88.30%,11.10%,17.70%,0.00%,0.00%,11.10%,69.30%,0.00%,100.00%,0.00%,2.50%,52.60%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
99,Canadian Tire Corporation Ltd,Grocery and Diversified Stores,#2/395,Canada,$212,2.80%,"$133,981",33.70%,$241,4.90%,"$1,580,358",50.40%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,16.10%,54.40%,3.80%,69.20%,1.10%,0.00%,180:1,32.20%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,1.64,58.90%,-,100.00%,14.00%,78.80%,25.00%,52.90%,21.40%,57.00%,0.00%,0.00%,14.30%,77.10%,0.00%,100.00%,0.00%,0.00%,51.50%,,1%,2%,1%,2%,7%,1%,4%,0%,1%,2%,1%,1%,3%,5%,43%,8%,3%,3%,3%,3%,3%,5%,3%
100,NVIDIA Corp,Electronic Products,#10/365,USA,"$18,317",71.30%,"$140,861",47.00%,"$34,595",78.40%,"$9,164,778",74.70%,"$72,786,666,667","$5,459,000,000","$136,475,000,000","$121,311,111,111",91.30%,85.40%,83.80%,87.50%,2.10%,9.90%,13.60%,41.60%,65.40%,98.40%,88:1**,0.00%,"$5,517",86.20%,No Data,0.00%,No Data,0.00%,64.70%,0.01,97.40%,-,100.00%,6.70%,83.00%,23.10%,51.70%,33.30%,87.10%,23.10%,83.00%,33.30%,93.80%,100.00%,0.00%,0.00%,5.00%,49.80%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
